country_name,iso3,region,income_group,lending_category,other
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,Blend,HIPC
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,Blend,HIPC
Dominica,DMA,Latin America & Caribbean,Upper middle income,Blend,
Fiji,FJI,East Asia & Pacific,Upper middle income,Blend,
Grenada,GRD,Latin America & Caribbean,Upper middle income,Blend,
Kenya,KEN,Sub-Saharan Africa,Lower middle income,Blend,
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,Blend,
Pakistan,PAK,South Asia,Lower middle income,Blend,
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,Blend,
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,Blend,
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,Blend,
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,Blend,
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,Blend,
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,Blend,
American Samoa,ASM,East Asia & Pacific,Upper middle income,,
Andorra,AND,Europe & Central Asia,High income,,
Aruba,ABW,Latin America & Caribbean,High income,,
Australia,AUS,East Asia & Pacific,High income,,
Austria,AUT,Europe & Central Asia,High income,,EMU
"Bahamas, The",BHS,Latin America & Caribbean,High income,,
Bahrain,BHR,Middle East & North Africa,High income,,
Barbados,BRB,Latin America & Caribbean,High income,,
Belgium,BEL,Europe & Central Asia,High income,,EMU
Bermuda,BMU,North America,High income,,
British Virgin Islands,VGB,Latin America & Caribbean,High income,,
Brunei Darussalam,BRN,East Asia & Pacific,High income,,
Canada,CAN,North America,High income,,
Cayman Islands,CYM,Latin America & Caribbean,High income,,
Channel Islands,CHI,Europe & Central Asia,High income,,
Cuba,CUB,Latin America & Caribbean,Upper middle income,,
Curaçao,CUW,Latin America & Caribbean,High income,,
Cyprus,CYP,Europe & Central Asia,High income,,EMU
Czech Republic,CZE,Europe & Central Asia,High income,,
Denmark,DNK,Europe & Central Asia,High income,,
Estonia,EST,Europe & Central Asia,High income,,EMU
Faroe Islands,FRO,Europe & Central Asia,High income,,
Finland,FIN,Europe & Central Asia,High income,,EMU
France,FRA,Europe & Central Asia,High income,,EMU
French Polynesia,PYF,East Asia & Pacific,High income,,
Germany,DEU,Europe & Central Asia,High income,,EMU
Gibraltar,GIB,Europe & Central Asia,High income,,
Greece,GRC,Europe & Central Asia,High income,,EMU
Greenland,GRL,Europe & Central Asia,High income,,
Guam,GUM,East Asia & Pacific,High income,,
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,,
Hungary,HUN,Europe & Central Asia,High income,,
Iceland,ISL,Europe & Central Asia,High income,,
Ireland,IRL,Europe & Central Asia,High income,,EMU
Isle of Man,IMN,Europe & Central Asia,High income,,
Israel,ISR,Middle East & North Africa,High income,,
Italy,ITA,Europe & Central Asia,High income,,EMU
Japan,JPN,East Asia & Pacific,High income,,
"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,Low income,,
"Korea, Rep.",KOR,East Asia & Pacific,High income,,
Kuwait,KWT,Middle East & North Africa,High income,,
Latvia,LVA,Europe & Central Asia,High income,,EMU
Liechtenstein,LIE,Europe & Central Asia,High income,,
Lithuania,LTU,Europe & Central Asia,High income,,EMU
Luxembourg,LUX,Europe & Central Asia,High income,,EMU
"Macao SAR, China",MAC,East Asia & Pacific,High income,,
Malta,MLT,Middle East & North Africa,High income,,EMU
Monaco,MCO,Europe & Central Asia,High income,,
Netherlands,NLD,Europe & Central Asia,High income,,EMU
New Caledonia,NCL,East Asia & Pacific,High income,,
New Zealand,NZL,East Asia & Pacific,High income,,
Northern Mariana Islands,MNP,East Asia & Pacific,High income,,
Norway,NOR,Europe & Central Asia,High income,,
Oman,OMN,Middle East & North Africa,High income,,
Portugal,PRT,Europe & Central Asia,High income,,EMU
Puerto Rico,PRI,Latin America & Caribbean,High income,,
Qatar,QAT,Middle East & North Africa,High income,,
San Marino,SMR,Europe & Central Asia,High income,,
Saudi Arabia,SAU,Middle East & North Africa,High income,,
Singapore,SGP,East Asia & Pacific,High income,,
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,,
Slovak Republic,SVK,Europe & Central Asia,High income,,EMU
Slovenia,SVN,Europe & Central Asia,High income,,EMU
Spain,ESP,Europe & Central Asia,High income,,EMU
St. Martin (French part),MAF,Latin America & Caribbean,High income,,
Sweden,SWE,Europe & Central Asia,High income,,
Switzerland,CHE,Europe & Central Asia,High income,,
"Taiwan, China",TWN,East Asia & Pacific,High income,,
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,,
United Arab Emirates,ARE,Middle East & North Africa,High income,,
United Kingdom,GBR,Europe & Central Asia,High income,,
United States,USA,North America,High income,,
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,,
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,,
